name,type
Piltti,Supermarket_chain
Arthurtreachersfishchips,Fastfood
Xiangeqing,Supermarket_chain
Lioncereal,Supermarket_chain
Truecoffee,Supermarket_chain
Violetcrumble,Supermarket_chain
Camillessidewalkcafe,Fastfood
Conagrafoods,Supermarket_chain
Puffapuffarice,Fastfood
Cocowheats,Supermarket_chain
Wuyutai,Supermarket_chain
Ganningpai,Supermarket_chain
Mcdonalds,Fastfood
Ricehoneysnabisco,Supermarket_chain
Realale,Supermarket_chain
Bertiebeetle,Supermarket_chain
Quakersteaklube,Supermarket_chain
Cinnacrunchpebbles,Supermarket_chain
Fruitselection,Supermarket_chain
Stephensgourmet,Supermarket_chain
Fruco,Supermarket_chain
Brugal,Supermarket_chain
Tacocabana,Fastfood
Jumbokrispies,Supermarket_chain
Cinnabon,Fastfood
Calistoga,Supermarket_chain
Itoen,Supermarket_chain
Spizzico,Fastfood
Fruitselectionyogurt,Supermarket_chain
Costacoffee,Supermarket_chain
Californiapizzakitchen,Fastfood
Marbleslabcreamery,Supermarket_chain
Honeynutclusters,Supermarket_chain
Bullwinklesrestaurant,Fastfood
Cocosbakery,Fastfood
Bluestatecoffee,Supermarket_chain
Squareoneorganic,Supermarket_chain
Huishan,Supermarket_chain
Blackjackpizza,Fastfood
Cerelac,Supermarket_chain
Blimpie,Fastfood
Pronutro,Supermarket_chain
Nutren,Supermarket_chain
Blavod,Supermarket_chain
Secretrecipe,Fastfood
Indomiemigoreng,Supermarket_chain
Chandelle,Supermarket_chain
Panarottis,Fastfood
Lostcoast,Supermarket_chain
Swensons,Fastfood
Qualitystreet,Supermarket_chain
Appletonestate,Supermarket_chain
Slimfast,Supermarket_chain
Motherspride,Supermarket_chain
Ribena,Supermarket_chain
Lacocinera,Supermarket_chain
Budgetgourmet,Supermarket_chain
Planetcola,Supermarket_chain
Cookiecrispbrownie,Supermarket_chain
Celestialseasonings,Supermarket_chain
Highlandtoffee,Supermarket_chain
Newzealandnatural3,Supermarket_chain
Carlsjr,Fastfood
Rumbar,Supermarket_chain
Maille,Supermarket_chain
Vapiano,Fastfood
Adrians,Supermarket_chain
Auntieannes1,Fastfood
Ladyschoice,Supermarket_chain
Cheddarscasualcafe,Fastfood
Lupicia,Supermarket_chain
Svedka,Supermarket_chain
Bovril,Supermarket_chain
Amarinelli,Supermarket_chain
Foxsbiscuits,Supermarket_chain
Bubbagumpshrimpcompany,Fastfood
Henrilloyd,Supermarket_chain
Cheesecakefactory,Fastfood
Sixpoint,Supermarket_chain
Berrybonesscoobydoo,Supermarket_chain
Belvita,Supermarket_chain
Calfeedesign,Supermarket_chain
Poulain,Supermarket_chain
Arehucas,Supermarket_chain
Pacificcoffeecompany,Supermarket_chain
Jixiangju,Supermarket_chain
Redrobin,Fastfood
Hebrewnational,Supermarket_chain
Homerscinnamondonut,Fastfood
Chickenoutrotisserie,Fastfood
Beacondrivein,Fastfood
Cocoapebbles,Supermarket_chain
Gobstoppers,Supermarket_chain
Luckycharms,Supermarket_chain
Lindt,Supermarket_chain
Sweetenedwheatfuls,Supermarket_chain
Berryberrykix,Supermarket_chain
Poppycock,Supermarket_chain
Cocoapuffscombos,Supermarket_chain
Fruit2o,Supermarket_chain
Cheeburgercheeburger,Fastfood
Bluebottlecoffeecompany,Supermarket_chain
Maxwellhouse,Supermarket_chain
Maynards,Supermarket_chain
Screamingyellowzonkers,Supermarket_chain
Toasties,Supermarket_chain
Hardrockcafe,Fastfood
Moutai,Supermarket_chain
Elpaso,Supermarket_chain
Showmars,Fastfood
Nairobijavahouse,Fastfood
Pizza73,Fastfood
Rooibee,Supermarket_chain
Cinnamonjacks,Supermarket_chain
Lollo,Supermarket_chain
Zephyrhills,Supermarket_chain
Hudsonscoffee2,Supermarket_chain
Wangzhihe,Supermarket_chain
Sweettomatoes,Fastfood
Cinnamontoasters,Supermarket_chain
Chocolateliqueur,Supermarket_chain
Frostedminispooners,Supermarket_chain
Herrellsicecream,Supermarket_chain
Biostime1,Supermarket_chain
Wangs,Supermarket_chain
Birdscustard,Supermarket_chain
Graeters,Supermarket_chain
Maizena,Supermarket_chain
Breakstones,Supermarket_chain
Casadragones,Supermarket_chain
Burgerstreet,Fastfood
Allagash,Supermarket_chain
Countrycrock,Supermarket_chain
Chronictacos2,Fastfood
Loacker,Supermarket_chain
Cornpops,Supermarket_chain
Holycowcasino,Fastfood
Yonho1,Supermarket_chain
Aureliospizza,Fastfood
Eristoff,Supermarket_chain
Kraftramek,Supermarket_chain
Wrigleys,Supermarket_chain
Royalfarms,Supermarket_chain
Clubsocial,Supermarket_chain
Guanshengyuan,Supermarket_chain
Ketelone,Supermarket_chain
Colmans,Supermarket_chain
Honeybunchesofoats,Supermarket_chain
Colossalcrunch,Supermarket_chain
Reddiwip,Supermarket_chain
Zoegas,Supermarket_chain
Highlandscoffee,Supermarket_chain
Hersheyscookiesncreme,Supermarket_chain
Adnams,Supermarket_chain
Cocoroos,Supermarket_chain
Oatmealcrisp,Supermarket_chain
Burrowhillcider,Supermarket_chain
Moessouthwestgrill,Fastfood
Breyers,Supermarket_chain
Chocolateflakes,Supermarket_chain
Wafflecrisp,Supermarket_chain
Rwhites,Supermarket_chain
Meccacola,Supermarket_chain
Buddyspizza,Fastfood
Chefmate,Supermarket_chain
Cookiecrispsprinkles,Supermarket_chain
Strawberryricekrispies,Supermarket_chain
Yesmywine,Supermarket_chain
Honeykix,Supermarket_chain
Lalaitiere,Supermarket_chain
Huddlehouse,Fastfood
Nabob,Supermarket_chain
Honeynutshreddedwheat,Supermarket_chain
Contrex,Supermarket_chain
Koskenkorva,Supermarket_chain
Mikado,Supermarket_chain
Grittymcduffs,Supermarket_chain
Zatarains,Supermarket_chain
Iams,Supermarket_chain
Baconsoda,Supermarket_chain
Angelobrocatos,Fastfood
Rogueales,Supermarket_chain
Montesierpe,Supermarket_chain
Newzealandnatural1,Supermarket_chain
Tiredhands,Supermarket_chain
Sveltesse,Supermarket_chain
Tealuxe,Supermarket_chain
Biostime2,Supermarket_chain
Wilton,Supermarket_chain
Laimao,Supermarket_chain
Smartbran,Supermarket_chain
Berryluckycharms,Supermarket_chain
Kichesippi1,Supermarket_chain
Blueberrymorning,Supermarket_chain
Bazooka,Supermarket_chain
Frostyjackcider,Supermarket_chain
Merrydown,Supermarket_chain
Sandfordorchards,Supermarket_chain
Wudeli,Supermarket_chain
Chickfila,Fastfood
Tresgeneraciones,Supermarket_chain
Pizzamyheart,Fastfood
Chiclets,Supermarket_chain
Halesales,Supermarket_chain
Raisinwheats,Supermarket_chain
Ommegang,Supermarket_chain
Chocolatetoastcrunch,Supermarket_chain
Popweavei,Supermarket_chain
Lollygobblebliss,Supermarket_chain
Wyders,Supermarket_chain
Wolfbrandchili,Supermarket_chain
Cafferitazza,Supermarket_chain
Greatlakes,Supermarket_chain
Huiyuan,Supermarket_chain
Heinztomatoketchup,Supermarket_chain
Hungryhowiespizza,Fastfood
Creamofwheat,Supermarket_chain
Rotel,Supermarket_chain
Rockbottom,Supermarket_chain
Romanosmacaronigrill,Fastfood
Cafecoffeeday,Fastfood
Conimex,Supermarket_chain
Lacta,Supermarket_chain
Popmie,Supermarket_chain
Chocolatedonofrio,Supermarket_chain
Piscohorconquemado,Supermarket_chain
Hungryhungryhippos,Supermarket_chain
Candyland,Supermarket_chain
Juanvaldezcafe,Supermarket_chain
Bridgeheadcoffee,Supermarket_chain
Oldstylepilsner,Supermarket_chain
Liwayway,Supermarket_chain
Hotchocolate,Supermarket_chain
Charmin,Supermarket_chain
1519tequila,Supermarket_chain
Charliebrownssteakhouse,Fastfood
Margherita,Fastfood
Poptartscrunch,Supermarket_chain
Goldengrahams,Supermarket_chain
Ijml,Supermarket_chain
Threeolives,Supermarket_chain
Capncrunch,Supermarket_chain
Infacare,Supermarket_chain
Sariwangi,Supermarket_chain
Weetos,Supermarket_chain
Coffeecrisp,Supermarket_chain
Sanka,Supermarket_chain
Milkbone,Supermarket_chain
Bearrepublic,Supermarket_chain
Hulahoops,Supermarket_chain
Bellywashers,Supermarket_chain
Pianyifang,Supermarket_chain
Boldrockhardcider,Supermarket_chain
Lunchables,Supermarket_chain
Crush,Supermarket_chain
Camerons,Supermarket_chain
Tacamademonio,Fastfood
Creemore,Supermarket_chain
Bucwheats,Supermarket_chain
Tresagaves,Supermarket_chain
Pizzaschmizza,Fastfood
Coffeeheaven,Supermarket_chain
Robust,Supermarket_chain
Bifi,Supermarket_chain
Snotshots,Supermarket_chain
Angryorchard,Supermarket_chain
Harvestcrunch,Supermarket_chain
Nestlecornflakes,Supermarket_chain
Branflakes,Supermarket_chain
Cheaders,Supermarket_chain
Pucko,Supermarket_chain
Uccueshimacoffeeco,Supermarket_chain
Luzhoulaojiao2,Supermarket_chain
Johnnyrockets,Fastfood
Arette,Supermarket_chain
Newportcreamery1,Fastfood
Rjrockers,Supermarket_chain
Sarriscandies,Supermarket_chain
Robinsdonuts,Fastfood
Papaguiseppi,Fastfood
Tacobueno,Fastfood
Barsol,Supermarket_chain
Themeltingpot,Fastfood
Bajafresh,Fastfood
Blenzcoffee2,Supermarket_chain
Anglobubbly,Supermarket_chain
Crispincider,Supermarket_chain
Becel,Supermarket_chain
Wiesmann,Supermarket_chain
Rickardsdark,Supermarket_chain
Gingerale,Supermarket_chain
Honeysmacks,Supermarket_chain
Cocosette,Supermarket_chain
Cheerios,Supermarket_chain
Carinositaliangrill,Fastfood
Sanpellegrino,Supermarket_chain
Chenkeming2,Supermarket_chain
Papamurphystakenbakepizza,Fastfood
Franconia,Supermarket_chain
Peptamen,Supermarket_chain
Weightwatchers,Supermarket_chain
Nutnhoney,Supermarket_chain
Lasaltena,Fastfood
Pepsilime,Supermarket_chain
Yurun,Supermarket_chain
Mcdonalds,Fastfood
Bisquick,Supermarket_chain
Redrosetea,Supermarket_chain
Texanbar,Supermarket_chain
Sasini,Supermarket_chain
Giolitti,Fastfood
Cocoapuffs,Supermarket_chain
Lambweston,Supermarket_chain
Frostedshreddedwheat,Supermarket_chain
Joescrabshack,Fastfood
Kleinerfeigling,Supermarket_chain
Stumptowncoffeeroasters,Supermarket_chain
Tartntinys,Fastfood
Cassanospizzaking,Fastfood
Steaknshake,Fastfood
Aromaespressobar,Supermarket_chain
Mountainmikespizza,Fastfood
Oldelpaso,Supermarket_chain
Pickupstix,Fastfood
Marcospizza,Fastfood
Cailler,Supermarket_chain
Countchocula,Supermarket_chain
Popeyeschickenbiscuits,Fastfood
Qdobamexicangrill,Fastfood
Capecodpotatochips,Supermarket_chain
Saimaza,Supermarket_chain
Capncrunchcrunchberries,Supermarket_chain
Haagendazs,Supermarket_chain
Applezings,Supermarket_chain
Carlingblacklabel,Supermarket_chain
Bucanero,Supermarket_chain
Bubbaloo,Supermarket_chain
Lucozade,Supermarket_chain
Cheezels,Supermarket_chain
Tignanello,Supermarket_chain
Elchico,Fastfood
Mrpizza,Fastfood
Russianriver,Supermarket_chain
Chickeninabiskit,Supermarket_chain
Erikli,Supermarket_chain
Wandashan,Supermarket_chain
Brighamsicecream,Fastfood
Charleysgrilledsubs,Fastfood
Chickenexpress,Fastfood
Chadao,Supermarket_chain
Cafehag,Supermarket_chain
Cigarcity,Supermarket_chain
Raisingcaneschickenfingers,Fastfood
Suerdieck,Supermarket_chain
Hpbulmer2,Supermarket_chain
Tullyscoffee,Supermarket_chain
Swissmiss,Supermarket_chain
Cavalier,Supermarket_chain
Bigturk,Supermarket_chain
Vanhoutte,Supermarket_chain
Berthillon,Fastfood
Chocomel,Supermarket_chain
Beaulieu,Supermarket_chain
Henniez,Supermarket_chain
Maxibon,Supermarket_chain
Rohrbach,Supermarket_chain
Brustersicecream,Fastfood
Havatampa,Supermarket_chain
Maudsicecream,Fastfood
Cheddarie,Supermarket_chain
Bullyboydistillers,Supermarket_chain
Fruitbrute,Supermarket_chain
Peppespizza,Fastfood
Carupano,Supermarket_chain
Smint,Supermarket_chain
Pepsijazz,Supermarket_chain
Xifeng,Supermarket_chain
Wienerschnitzel,Fastfood
Hardees,Fastfood
Leviennois,Supermarket_chain
Ginospizzaandspaghetti,Fastfood
Portillos,Fastfood
Berryburstcheerios,Supermarket_chain
Nandos,Fastfood
85cbakerycafe,Fastfood
Galak,Supermarket_chain
Benedettispizza,Fastfood
Ingmanicecream,Fastfood
Bearnos,Fastfood
Starnou,Supermarket_chain
Rayspizza,Fastfood
Strawhatpizza,Fastfood
Toxicwaste,Supermarket_chain
Champpsamericana,Fastfood
Cariboucoffee,Fastfood
Cachantun,Supermarket_chain
Portcityjava,Fastfood
Bigmamasausage,Fastfood
Copella,Supermarket_chain
Pipsqueak,Supermarket_chain
Cornnuts,Supermarket_chain
Californiafreeformer,Supermarket_chain
Itsagrindcoffeehouse,Fastfood
Mulata,Supermarket_chain
Thecapitalgrille,Fastfood
Bostonpizza,Fastfood
Cruztequila,Supermarket_chain
Eltacotote,Fastfood
Frankpepepizzerianapoletana,Fastfood
Warburtons,Supermarket_chain
241pizza,Fastfood
Sabraliqueur,Supermarket_chain
Wolverine,Supermarket_chain
Chipsmore,Supermarket_chain
Cocoakrispies,Supermarket_chain
Cartenoire,Supermarket_chain
Bennigans,Fastfood
Smokeybones,Fastfood
Stroh,Supermarket_chain
Mccoyscrisps,Supermarket_chain
Chenkeming1,Supermarket_chain
Hornimans,Supermarket_chain
Sheetz,Fastfood
Angelamia,Fastfood
Bakerssquare,Fastfood
Icantbelieveitsnotbutter,Supermarket_chain
Sanquan,Supermarket_chain
Ristretto,Supermarket_chain
Gerber,Supermarket_chain
Skyy,Supermarket_chain
Ricechex,Supermarket_chain
Chocolatechex,Supermarket_chain
Miloshamburgers,Fastfood
Slotts,Supermarket_chain
Applecinnamonchex,Supermarket_chain
Fruitycheerios,Supermarket_chain
Crunch,Supermarket_chain
Pizzapizza,Fastfood
Lagunitas,Supermarket_chain
Caffeumbria,Supermarket_chain
Cinnamonminibuns,Supermarket_chain
Newportcreamery2,Fastfood
Freihofers,Supermarket_chain
Humdinger,Supermarket_chain
Laffytaffy,Supermarket_chain
Pennstationrestaurant,Fastfood
Berrykrispies,Supermarket_chain
Eastofchicagopizza,Fastfood
Mondaine,Supermarket_chain
Supligen,Supermarket_chain
Minties,Supermarket_chain
Lenders,Supermarket_chain
